;Nazwa;Kategoria;Cena zawiera podatek. (brutto)
0;  Lampa wisząca Fiona z falbaniastym kloszem ;14; 173,90 zł 
1;  Lampa wisząca Dallas, chrom ;14; 2 029,19 zł 
2;  Lucande Hayley lampa wisząca LED 9-punktowa, złota ;14; Special Price  1 522,68 zł 
3;  Lucande Jorna lampa wisząca 5-pkt, kabel czerwony ;14; Special Price  305,61 zł 
4;  Lucande Filoreta lampa wisząca, 35 cm, czarna ;14; Special Price  247,89 zł 
5;  Lucande Alobani lampa wisząca LED z kryształami ;14; Special Price  834,07 zł 
6;  Lampa wisząca LED Artist, Ø 40 cm, czarna ;14; 1 160,08 zł 
7;  Lucande Sotiana lampa wisząca szklane kule, 4-pkt. ;14; 725,12 zł 
8;  Lucande Sotiana lampa wisząca szklane kule, 3-pkt. ;14; Special Price  477,15 zł 
9;  Lampa wisząca LED Narisa, Ø 18 cm chrom ;14; 453,58 zł 
10;  Wspaniała lampa wisząca LED Narisa ;14; Special Price  1 195,04 zł 
11;  Lampa wisząca Eos large, jasnobrązowy klosz ;14; 1 105,61 zł 
12;  MARKET SET Screen XL lampa wisząca ;14; 2 509,90 zł 
13;  Grok Invisible lampa wisząca LED 00-5693, Ø 15cm ;14; 869,84 zł 
14;  Dyberg Larsen PineApple M Copper Look wisząca 45cm ;14; 649,51 zł 
15;  Lucande Lian lampa wisząca LED, złota oksydowana ;14; Special Price  1 712,93 zł 
16;  Lucande Anjita lampa wisząca szklane klosze 3-pkt. ;14; Special Price  305,61 zł 
17;  Lucande Sakina lampa wisząca LED czarna Ø 49cm ;14; Special Price  457,64 zł 
18;  Lucande Elinara kryształowa lampa wisząca, miedź ;14; Special Price  1 703,17 zł 
19;  Lucande Parena lampa wisząca ze szklanymi kloszami ;14; Special Price  906,42 zł 
20;  Lampa wisząca LED Marija, przesłona pionowa czarna ;14; Special Price  913,74 zł 
21;  Lucande Edano lampa wisząca LED, 3 stopniowa ;14; 678,78 zł 
22;  Lucande Filoreta lampa wisząca, 45 cm, czarna ;14; Special Price  343,82 zł 
23;  Lucande Hayley lampa wisząca LED 9-punktowa, chrom ;14; Special Price  1 522,68 zł 
24;  Lucande Lounit lampa wisząca, czarno-złota, 1-pkt. ;14; Special Price  398,29 zł 
25;  FLOS Smithfield S lampa wisząca ;14; Special Price  2 714,55 zł 
26;  Lampa wisząca Tulipani ze szkła z Murano, 45 cm ;14; 3 189,35 zł 
27;  Lampa wisząca GOCCIA 45 w formie kropli ;14; Special Price  1 231,63 zł 
28;  Ozdobna lampa wisząca Silvia medium, biała ;14; 381,22 zł 
29;  New Works Tense lampa wisząca LED, recykling 100% ;14; 2 228,90 zł 
30;  UMAGE Carmina mini lampa wisząca biała ;14; 308,86 zł 
31;  Niezwykła lampa wisząca Planet ;14; Special Price  282,85 zł 
32;  Lucande Filoreta lampa wisząca, 35 cm, biała ;14; Special Price  247,89 zł 
33;  Lucande Sakina lampa wisząca LED czarna Ø 58cm ;14; Special Price  571,46 zł 
34;  Lucande Dustian lampa wisząca, szklana kula ;14; Special Price  134,88 zł 
35;  Lucande Valina lampa wisząca ze szkła, 1-punktowa ;14; Special Price  229,19 zł 
36;  Lampa wisząca LED Marija, pionowa osłona, srebrna ;14; Special Price  913,74 zł 
37;  Lucande Anjita lampa wisząca szklane klosze 5-pkt. ;14; Special Price  438,94 zł 
38;  Lucande Lounit lampa wisząca, czarno-złota, 4-pkt. ;14; Special Price  725,12 zł 
39;  Miedziana lampa wisząca Deda ;14; 240,57 zł 
40;  Lucande Valina lampa wisząca ze szkła, decentralna ;14; Special Price  471,46 zł 
41;  Lucande Lian lampa wisząca LED, mosiądz, regulacja ;14; Special Price  1 674,72 zł 
42;  Złota lampa wisząca AURA - made in Germany ;14; Special Price  1 143,01 zł 
43;  Lucande Carlea lampa wisząca, 6-punktowa ;14; Special Price  457,64 zł 
44;  Lucande Miraia lampa wisząca, lustrzana ;14; Special Price  1 087,72 zł 
45;  Lampa wisząca Silvia mini, szczotkowany mosiądz ;14; 308,86 zł 
46;  Modo Luce Campanone lampa wisząca Ø 51 cm ;14; Special Price  1 449,51 zł 
47;  UMAGE Cornet lampa wisząca biała/mosiądz ;14; 344,63 zł 
48;  Slamp Hugo White designerska lampa wisząca LED ;14; 1 869,84 zł 
49;  Ekstrawagancka lampa wisząca Silvia mini, biała ;14; 272,28 zł 
50;  Lampa wisząca Acorn, 3-punktowa, czarny i mosiężny ;14; 1 199,92 zł 
51;  Kundalini Lilli lampa wisząca ze szkła i mosiądzu ;14; Special Price  2 403,98 zł 
52;  Knikerboker Le Gigine lampa wisząca 1-pkt. miedź ;14; 812,11 zł 
53;  MARKET SET Singapour XML lampa wisząca ;14; 775,90 zł 
54;  Lampa wisząca Jugen 1-punktowa ;14; 478,78 zł 
55;  UMAGE lampa wisząca Jazz dark oak, czarna ;14; 1 250,33 zł 
56;  Forestier Gravity 1 lampa wisząca Ø86cm ;14; 3 989,90 zł 
57;  Lampa wisząca Stay, 3-punktowa, ukośne klosze ;14; 1 158,90 zł 
58;  Mała lampa wisząca Bond ;14; 1 751,90 zł 
59;  Lampa wisząca Acorn, biała i miedziana, polerowana ;14; 362,52 zł 
