;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis;Ilosc
0;  Lucande Hayley lampa wisząca LED 9-punktowa, złota ;34;"https://lw-cdn.com/images/B0453540484E/k_43d38fcb4734dfcdb21cf0b0ccffde71;w_353;h_353;q_70/lucande-hayley-lampa-wiszaca-led-9-punktowa-zlota.jpg"; 1522,68zł ;Lampka LED do zawieszania Hayley z dziewięcioma wspaniałymi szklanymi kulami o szlachetnym, złotym wyglądzie  Specjalna wisząca lampa LED Hayley charakteryzuje się eleganckim wzornictwem i nowoczesną technologią LED. Zarówno okrągły daszek, jak i filigranowe elementy metalowe, które otaczają spodnią część szklanej kuli, uzyskały złote wykończenie.  Wnętrze dziewięciu kul zaskakuje dekoracyjnie wkomponowanymi bąbelkami powietrza, które podkreślają indywidualny charakter lampy. Zainstalowane na stałe diody LED o wysokiej intensywności emitują przyjemne, ciepłe, białe światło, które nadaje się również do oświetlania większych powierzchni pomieszczenia. Światło jest rozprowadzane pośrednio i równomiernie w pomieszczeniu bez oślepiania. Szlachetny i efektowny design tego pięknego źródła światła może być zintegrowany z różnymi meblami i pozostawia długotrwałe wrażenie na obserwatorze. Pobierz:   Instrukcja obsługi                    (554 KB) ;50
1;  Lampa wisząca Dallas, chrom ;34;"https://lw-cdn.com/images/D5D49BEA3E4D/k_a42b95d7f0b83b397413137fcaa4cdbf;w_353;h_353;q_70/lampa-wiszaca-dallas-chrom.jpg";2029,19zł;Lampa wisząca Dallas z chromowanymi szklanymi kulami  25-punktowa lampa wisząca Dallas ma bajecznie piękny wygląd: podłużny klosz stanowią szklane kule w odcieniu chromu przymocowane do długiego metalowego pręta. Cała lampa sprawia bardzo nowoczesne, a jednocześnie uroczyste wrażenie – ze względu na swój odcień oświetlone szklane kule emitują wyjątkowo piękne światło.  To niezwykle atrakcyjne źródło oświetlenia obszarowego i ogólnego do nowoczesnej przestrzeni mieszkalnej, które nadaje każdemu pomieszczeniu ekskluzywny charakter. ;50
2;  Lampa wisząca LED Artist, Ø 40 cm, czarna ;34;"https://lw-cdn.com/images/8E6A4ADBDC5A/k_0bda51e10807e55d7f3721405a9b3635;w_353;h_353;q_70/lampa-wiszaca-led-artist-o-40-cm-czarna.jpg";1160,08zł;Oprawa wisząca LED Artist - przyjemne oświetlenie stołu w płaskim wzornictwie  Jednopłomienna lampa wisząca Artist przekonuje nowoczesnym, przejrzystym designem płaskiego, okrągłego klosza. Jego czarna metalowa obudowa posiada od spodu opalową osłonę z tworzywa sztucznego, która rozprasza ciepłobiałe światło zintegrowanych diod LED i zapewnia w ten sposób szerokie i przyjemne oświetlenie obszaru pod lampą. Na przykład do indywidualnego oświetlenia stołu w jadalni, ale także nad stołem w restauracji lub w grupie wzdłuż lady, lampa wisząca LED Artist może być idealnie wykorzystana.  - ściemniane zewnętrznie przez sekcję fazową ;50
3;  Wspaniała lampa wisząca LED Narisa ;34;"https://lw-cdn.com/images/7BFB9B237E6C/k_40fd1f89024ee5686cc42a26fcfdd2a1;w_353;h_353;q_70/wspaniala-lampa-wiszaca-led-narisa.jpg"; 1195,04zł ;Narisa – wyjątkowa lampa wisząca LED z kloszem z wielu elementów metalowych  Nieregularnie uformowane, zazwyczaj owalne elementy metalowe z chromowaną powierzchnią zostały w lampie wiszącej LED Narisa uszeregowane, tworząc niezwykły klosz lampy. Tak właśnie powstała czarująca struktura, która będzie stanowić centralny element każdego pomieszczenia. Żarówki są umiejscowione za dyfuzorem z białego akrylu, przez co emitują jednorodne światło w dół, podczas gdy przez liczne przestrzenie klosza oraz przez odbicia światła na wygiętych elementach powstają wokół świetne efekty świetne na ścianach i elementach wyposażenia.  ;50
4;  Lucande Filoreta lampa wisząca, 35 cm, czarna ;34;"https://lw-cdn.com/images/BE36C5E166FC/k_26a2e0b54d228b1e54b6db59ae48dbb4;w_353;h_353;q_70/lucande-filoreta-lampa-wiszaca-35-cm-czarna.jpg"; 247,89zł ;Okrągła designerska lampa wisząca Filoreta z czarnym metalowym kloszem i detalami w kolorze mosiądzu - szlachetna do kuchni i jadalni  Filoreta ma okrągły, ale płaski metalowy klosz, który tym samym uosabia pewną prostolinijność, jak to często bywa w stylu Mid-Century, który ma szczególny urok retro, ponieważ przypomina wnętrza z połowy ubiegłego wieku i podchwytuje wzornictwo lat 40-tych, 50-tych i 60-tych. Metal jest ciężki i poddany wysokiej jakości obróbce, dzięki czemu lampa wisząca Filoreta może błyszczeć solidną konstrukcją, a jednocześnie uosabia prostą elegancję.  Ponieważ metal jest materiałem nieprzezroczystym, światło jest naturalnie kierowane w dół na powierzchnię, którą w wielu przypadkach jest stół w kuchni lub jadalni. Stół ten może być wtedy dobrze i jasno oświetlony, zwłaszcza że zastosowano dwie żarówki E27 (często o wyglądzie filamentu lub rustykalnym i wydajnej technologii LED), ale światło otoczenia wydaje się dość przytulne i stosunkowo nieoślepiające. Metalowy klosz z matową czarną powierzchnią uzupełniają detale w kolorze szczotkowanego mosiądzu, które tworzą modny kontrast, ale także harmonijnie współgrają ze sobą. Również pokryty tkaniną kabel, który prowadzi do mocowania sufitowego lampy wiszącej, jest dopasowany kolorystycznie. Ogólnie rzecz biorąc, projekt oprawy wykazuje wyczucie dla specjalnych i wybranych szczegółów, które razem tworzą luksusową aurę z przyjemną dyskrecją. Pobierz:   Instrukcja obsługi                    (355 KB) ;50
5;  Lucande Jorna lampa wisząca 5-pkt, kabel czerwony ;34;"https://lw-cdn.com/images/F4D01DF8378D/k_9165dcd73428d8ef78b073913fd530e2;w_353;h_353;q_70/lucande-jorna-lampa-wiszaca-5-pkt-kabel-czerwony.jpg"; 305,61zł ;Pięciolampowa designerska lampa wisząca Jorna z czerwonymi przewodami z tkaniny  Jorna to bardzo przykuwający uwagę, wyjątkowy element oświetleniowy do nowoczesnych stylizacji, który potrafi zapunktować niezwykłymi walorami aranżacyjnymi i przyciąga wzrok nie tylko dzięki połączeniu kolorystycznemu w czerni i czerwieni. Jednocześnie lampa wisząca przyciąga wzrok dzięki swojemu ikonicznemu wzornictwu i zawsze wywołuje efekt domowy i dekoracyjny, a minimalistyczny design dzięki odpowiedniemu doborowi materiałów wyróżnia całą koncepcję. Nie ma klasycznych kloszy, jest za to rama z czarnego żelaza, z której luźno zwisają gniazda. Od gniazdka elektrycznego do źródeł światła prowadzą czerwone kable tekstylne, co rozluźnia ogólny wygląd mocnym odcieniem koloru i wyraźnie indywidualizuje wygląd. Kable można dowolnie rozmieszczać, a lampa wisząca Jorna jest z pewnością odpowiednim elementem oświetleniowym dla indywidualistów, którzy poszukują takich elementów wyposażenia, za pomocą których można się wyróżnić. Ogólny design również dobrze wpisuje się w trend industrialny, a aby dopełnić wygląd w stylu, należy wybrać lampy kuliste w formacie G95, które są większe niż standardowe lampy i nie tylko ze względu na brak kloszy przyciągają wzrok i są obecną częścią oprawy.  Pobierz:   Instrukcja obsługi                    (407 KB) ;50
6;  Lucande Lian lampa wisząca LED, mosiądz, regulacja ;34;"https://lw-cdn.com/images/F577E80F30C3/k_5ee514fbf17cb7a63ef269f7de544f89;w_353;h_353;q_70/lucande-lian-lampa-wiszaca-led-mosiadz-regulacja.jpg"; 1674,72zł ;Wyprodukowana w Niemczech lampa wisząca LED o regulowanej wysokości Lian, zewnętrzne ściemnianie, kolory mosiądzu, CRI 90  Lian to lampa wisząca LED, która idealnie pasuje nad stołem w jadalni. Obie osłony zostały misternie wykończone ręcznie w pięknej, matowej tonacji mosiądzu i mają zaokrąglony kształt. Listwa świetlna wewnątrz nowoczesnego i ekstrawagancko ukształtowanego klosza lampy jest wyposażona w diody LED w taki sposób, że powstaje bezpośrednie i pośrednie światło, a otoczenie zostaje przyjemnie oświetlone. Jasność wiszącej lampy można perfekcyjnie regulować za pomocą zewnętrznego ściemniacza (ściemniacz z trybem odcinania fazy lub fazowo-kątowy), a barwa światła jest tak samo ciepła, jak w przypadku żarówek tradycyjnych, dzięki czemu uzyskuje się przytulny obraz świetlny, który bardzo ładnie wpasowuje się w przestrzeń mieszkania. Dodatkowo, powierzchnia w kolorze mosiądzu zapewnia ciepłą emisję światła barwionego, a Lian jest jednym z produktów oświetleniowych, które są produkowane z najwyższą precyzją w Niemczech i charakteryzują się najwyższą jakością.   Za pomocą jednego lub dwóch ruchów ręki, wysokość zawieszenia można regulować w dowolnym momencie (od 105 cm do 195 cm), stwarzając optymalne warunki oświetleniowe w jadalni wraz z innymi cechami, które charakteryzują lampę Lian. Dzięki bardzo dużej przestrzeni połączeniowej w puszce sufitowej szczególnie wygodny jest montaż lampy wiszącej z jasnymi i wydajnymi diodami LED.   Oddawanie barw przez diody LED jest doskonałe, CRI jest większy, niż 90, dzięki czemu można zapewnić jak najbardziej naturalne odwzorowanie kolorów, nawet przy sztucznym oświetleniu pomieszczeń. Pobierz:   Instrukcja obsługi                    (268 KB) ;50
7;  Lucande Edano lampa wisząca LED, 3 stopniowa ;34;"https://lw-cdn.com/images/7389A41BB88A/k_b68e9a5ae8c8b211dd925ca1d714d59e;w_353;h_353;q_70/lucande-edano-lampa-wiszaca-led-3-stopniowa.jpg";678,78zł;Duża tekstylna lampa wisząca Edano o wspaniałym wzornictwie, funkcja Steppdim  Wisząca lampa LED Edano pojawia się z jednej strony swoim rozmiarem, a z drugiej strony swoją specjalną konstrukcją bardzo niezwykłą. Długi odcień wykonany z materiału tekstylnego wygląda bardzo interesująco z jego krzywiznami i wywołuje skojarzenia ze skrzydłami szybowca na wietrze.   Ekran zawiera ciepłe białe diody LED, które mogą być ściemniane bez konieczności instalowania ściemniacza nad jakimkolwiek konwencjonalnym przełącznikiem ściennym. Poprzez kilkakrotne naciśnięcie przełącznika można przełączyć światło na trzy poziomy jasności (100 %, 40 % lub 10 %), czwarta operacja przełączania wyłącza światło.  3-stopniowe przyciemnianie + wyłączanie:  Za pomocą włącznika ściennego można włączać i wyłączać lampę jak zwykle. Dzięki 3-stopniowej technologii ściemniania ze zintegrowaną funkcją wyłączania, można ją również przyciemnić do trzech różnych poziomów jasności poprzez wielokrotne naciskanie przełącznika: 100 %, 40 % i 10 %. Pobierz:   Instrukcja obsługi                    (1.2 MB) ;50
8;  Lampa wisząca LED Narisa 5xG9, Ø47cm, biała ;34;"https://lw-cdn.com/images/F18AF4338FCC/k_f9a16c51931ef73ae942c7714cd9d570;w_353;h_353;q_70/lampa-wiszaca-led-narisa-5xg9-o47cm-biala.jpg";1268,21zł;;50
9;  Lucande Dustian lampa wisząca, szklana kula ;34;"https://lw-cdn.com/images/25F49C0C4C79/k_795aa6dd3d975651b70865a593d7ae2c;w_353;h_353;q_70/lucande-dustian-lampa-wiszaca-szklana-kula.jpg"; 134,88zł ;Kularowa lampa wisząca Dustian w ekstrawaganckim wykonaniu z czarnego metalu i szkła  Projekt tej okrągłej oprawy wiszącej wydaje się szlachetny i nieco zabawny i uosabia elegancki dwuskładnikowy wygląd, ponieważ klosz w formie kuli wykonany jest z czarnego metalu i przezroczystego szkła w mniej więcej równych częściach. Mechanizm skrętu pozwala na szybkie zdemontowanie obu elementów podczas wymiany lampy, a następnie równie szybkie złożenie ich z powrotem. Otwór jest tak duży, że można stosować nawet lampy kuliste o średnicy do 9,5 cm. Za przezroczystym szkłem, tak duża lampa jest wtedy oczywiście szczególnie piękna. Alternatywą jest zastosowanie reflektora lustrzanego dla szczególnie komfortowych warunków oświetleniowych lub lamp o bardzo ciepłej barwie światła. Pasuje to do modnego czarnego wykończenia powierzchni.   Jako oprawa wisząca, Dustian jest prawdziwym typem charakteru o unikalnym wyglądzie i może być wkomponowany w wiele przestrzeni mieszkalnych, gdzie nie tylko dostarcza światła, ale także wywiera rzeczywiste wrażenie jako element wyposażenia o charakterze obiektowym. Pobierz:   Instrukcja obsługi                    (377 KB) ;50
